NGA,PolID,Number,Text
Big Island Hawaii,Hawaii1,NA,-
Big Island Hawaii,Hawaii2,NA,-
Big Island Hawaii,Hawaii3,1,"A creator god existed, and his name was Kane. However, it is not clear that he also enforced moral behaviour among humans. But, based on the fact that people prayed to him in temples, asking him to grant them things like wisdom and prosperity, perhaps it is reasonable to code him as ""active"". Admittedly, however, things are somewhat complicated by the fact that Kane was also assisted by the gods Ku and Lono during creation (though he himself played the dominant role), and that, when people prayed to Kane, they often prayed ""through"" lesser gods, e.g. family gods ('aumakua). Based on information provided by Beckwith[840], though we also made sure that our codings do not diverge from the supplementary materials in Watts et al. (2015)[841] NB This descriptive text refers to the period following European contact. The fact that certain elements of the ritual-religious system the Europeans encountered in Hawaii had probably been in place for a few centuries at first seemed sufficient to infer the presence of other elements, such as this one. However, this approach now seems too speculative."
Big Island Hawaii,USKameh,1,"A creator god existed, and his name was Kane. However, it is not clear that he also enforced moral behaviour among humans. But, based on the fact that people prayed to him in temples, asking him to grant them things like wisdom and prosperity, perhaps it is reasonable to code him as ""active"". Admittedly, however, things are somewhat complicated by the fact that Kane was also assisted by the gods Ku and Lono during creation (though he himself played the dominant role), and that, when people prayed to Kane, they often prayed ""through"" lesser gods, e.g. family gods ('aumakua). Based on information provided by Beckwith[798], though we also made sure that our codings do not diverge from the supplementary materials in Watts et al. (2015)[799]"
Big Island Hawaii,USHawai,MS,-
Cambodian Basin,KhFunaE,1,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita, Arjuna is permitted to glimpse Krishna’s cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [691] “Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them.” [692]"
Cambodian Basin,KhFunaL,1,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna’s cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [644] “Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them.” [645]"
Cambodian Basin,KhChenl,1,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna's cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [574] ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms 'reward' and 'punishment' are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" [575]"
Cambodian Basin,KhAngkE,1,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna's cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [987] ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms 'reward' and 'punishment' are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" [988]"
Cambodian Basin,KhAngkC,1,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna’s cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [1,005] “Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them.” [1,006]"
Cambodian Basin,KhAngkL,2,"“There are numerous Higher Gods, but these are remote and sublime beings who have little involvement in human affairs. Nevertheless, they are subject to karma and are eventually reborn like everyone else.”"
Cambodian Basin,KhCambd,2,"“There are numerous Higher Gods, but these are remote and sublime beings who have little involvement in human affairs. Nevertheless, they are subject to karma and are eventually reborn like everyone else.” [740]"
Cambodian Basin,ThAyuth,3,"""In practice, this pure form of Theravada was blended with other religious practices, including roles for Hindu gods, notions of supernatural power often borrowed from tantric types of Buddhism, and folk beliefs in spirits – especially in their power to foretell and influence the future."""
Cambodian Basin,ThRattn,2,"“There are numerous Higher Gods, but these are remote and sublime beings who have little involvement in human affairs. Nevertheless, they are subject to karma and are eventually reborn like everyone else.” "
Central Java,IdCJBun,NA,-
Central Java,IdKalin,NA,-
Central Java,IdKedir,1,"Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna's cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [530] ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms 'reward' and 'punishment' are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" [531]"
Central Java,IdMajap,1,"Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna's cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [359] ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms 'reward' and 'punishment' are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" [360]"
Central Java,IdMatrm,2,"Allah created and governs the cosmos. At the resurrection (Hashr), Allah will send individuals to hell (Jahannam) or paradise (Cannat) after final judgment (Hisab) of their behavior (e.g. cheating, theft). ""As an uncompromising and pure monotheistic religion, according to Islam, God is one and unique (tawhid); and He has no partner, no children and no parents. He is eternal and everywhere. He is Creator of the universe, which is not self-explanatory. He is merciful, compassionate and loving. He sent prophets to guide humankind, to tell us how to live like good individuals and be happy in this world and the hereafter."" [373] ""The fifth article of Islamic faith is belief in life after death. The life of this world and all that is in it will come to an end on a divinely appointed date, which is called the Last Day (Qiyamat). All human beings who have lived in the world will then be restored to life and will be presented before God. This is called resurrection (Hashr). The entire record of every person will be presented before God for final judgement (Hisab). Those who excel in goodness will be rewarded. Those whose evils and wrongdoings outweigh their good deeds will be punished. Those who are condemned and deserve punishment will be sent to hell (Jahannam). Those who emerge successfully from the final judgement will go to paradise (Cannat). [...]Muslims must desist from the practice of infanticide, from adultery, from killing unjustly, from robbing orphans, from cheating in trade, from believing false reports and from showing pride: ‘Do not slay your offspring for fear of want. It is We who provide for them, and for you. Indeed their killing is a great sin. Do not approach adultery, for it is an indecent thing and an evil way. Do not take the life which Allah has rendered sacrosanct, except for a just cause.... Do not approach the property of an orphan except in the way that is best (responsible investment) until he attains majority. Keep your covenants, for one is responsible for one's covenant. Give full measure when you measure, and weigh with even scales (when you weigh). This is better, and will be the best in the end. Do not go after that of which you have no knowledge, for (man's) eyes, ears and heart, each of these (senses) shall be closely questioned. Do not walk proudly on the earth (Qur'an, 17:31-7).'"" [374]"
Central Java,IdMedng,MS,-
