"NGA","PolID","Start.Date","End.Date","HighGods","HighGods.No","MoralisingHighGods","SourceText","Number"
"Big Island Hawaii","Hawaii1",1000,1199,"suspected unknown",NA,NA,"-",NA
"Big Island Hawaii","Hawaii2",1200,1649,"suspected unknown",NA,NA,"-",NA
"Big Island Hawaii","Hawaii3",1650,1777,"suspected unknown",NA,NA,"A creator god existed, and his name was Kane. However, it is not clear that he also enforced moral behaviour among humans. But, based on the fact that people prayed to him in temples, asking him to grant them things like wisdom and prosperity, perhaps it is reasonable to code him as ""active"". Admittedly, however, things are somewhat complicated by the fact that Kane was also assisted by the gods Ku and Lono during creation (though he himself played the dominant role), and that, when people prayed to Kane, they often prayed ""through"" lesser gods, e.g. family gods ('aumakua). Based on information provided by Beckwith[840], though we also made sure that our codings do not diverge from the supplementary materials in Watts et al. (2015)[841] NB This descriptive text refers to the period following European contact. The fact that certain elements of the ritual-religious system the Europeans encountered in Hawaii had probably been in place for a few centuries at first seemed sufficient to infer the presence of other elements, such as this one. However, this approach now seems too speculative.","1"
"Big Island Hawaii","USKameh",1778,1819,"active","2",0,"A creator god existed, and his name was Kane. However, it is not clear that he also enforced moral behaviour among humans. But, based on the fact that people prayed to him in temples, asking him to grant them things like wisdom and prosperity, perhaps it is reasonable to code him as ""active"". Admittedly, however, things are somewhat complicated by the fact that Kane was also assisted by the gods Ku and Lono during creation (though he himself played the dominant role), and that, when people prayed to Kane, they often prayed ""through"" lesser gods, e.g. family gods ('aumakua). Based on information provided by Beckwith[798], though we also made sure that our codings do not diverge from the supplementary materials in Watts et al. (2015)[799]","1"
"Big Island Hawaii","USHawai",NA,NA,"moralizing","3",1,"-","MS"
"Cambodian Basin","KhFunaE",225,539,"inactive","1",0,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita, Arjuna is permitted to glimpse Krishna’s cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [691] “Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them.” [692]","1"
"Cambodian Basin","KhFunaL",540,639,"inactive","1",0,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna’s cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [644] “Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them.” [645]","1"
"Cambodian Basin","KhChenl",640,801,"inactive","1",0,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna's cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [574] ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms 'reward' and 'punishment' are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" [575]","1"
"Cambodian Basin","KhAngkE",802,1079,"inactive","1",0,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna's cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [987] ""Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms 'reward' and 'punishment' are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them."" [988]","1"
"Cambodian Basin","KhAngkC",1080,1219,"inactive","1",0,"""Each Purana tends to focus on a specific deity as the Supreme Being responsible for creating and ordering the world. [...] Thus, [for example,] Krishna [...] is a form of the supreme God who creates, maintains, and destroys the universe. In the Bhagavad Gita , Arjuna is permitted to glimpse Krishna’s cosmic form. He sees the entire universe, the sun, stars, and planets, and all the people gathered on the battlefield within the body of Krishna. Krishna tells him that everything that exists is part of himself, but that he is not limited to everything that exists. In other words, just as the Vedic Purusha extended ten finger-lengths beyond the created universe, so too Krishna is the entire cosmos and more."" [1,005] “Among the cosmic laws that constitute dharma, the law of karma, or action, is especially relevant to rebirth. By the law of karma, every thought, word, and deed carries with it a like reaction. Beings are born, live, die, and are reborn based on their actions. Every good deed brings a reward, and every bad deed a punishment. The terms ‘reward’ and ‘punishment’ are deceptive, however; for karma is not seen as a set of rewards and punishments doled out by a just God, but in impersonal terms, as the working of natural law. Karma attracts reactions to moral agents like an ethical law of gravity. Benevolent actions produce good results for the person who engages in them. Similarly, actions intended to cause suffering will lead to suffering for those who commit them.” [1,006]","1"
